t,point 1,point 4
0,0,0
1,0.25,0
2,0.3125,0
3,0.328125,0
4,0.328125,0.00390625
5,0.322265625,0.0107421875
6,0.314208984375,0.01904296875
7,0.30548095703125,0.02783203125
8,0.2967529296875,0.0365753173828125
9,0.28832244873046875,0.045009613037109375
10,0.28031444549560547,0.05301856994628906
11,0.27277207374572754,0.060561180114746094
12,0.2656996250152588,0.06763368844985962
13,0.2590833008289337,0.07425002753734589
14,0.2529013715684414,0.08043196052312851
15,0.24712914694100618,0.08620418608188629
16,0.2417413853108883,0.09159194794483483
17,0.23671343398746103,0.09661989932646975
18,0.23202174091420602,0.10131159241427667
19,0.22764405637644813,0.10568927695567254
20,0.22355948344556964,0.10977384988746053
21,0.21974845619342886,0.11358487713982868
22,0.21619268494708876,0.11714064838622562
23,0.21287508800283206,0.12045824533049654
24,0.20977971931088746,0.12355361402244469
25,0.20689169670266772,0.12644163663066532
26,0.20419713277504914,0.12913620055828412
27,0.20168306932912167,0.13165026400421165
28,0.19933741566300905,0.13399591767032426
29,0.19714889072943625,0.13618444260389706
30,0.19510696903358019,0.13822636429975313
31,0.19320183008786473,0.14013150324546858
32,0.19142431121903647,0.14190902211429685
33,0.1897658635197635,0.1435674698135698
34,0.18821851074251633,0.14511482259081696
35,0.18677481094283577,0.14655852239049752
36,0.18542782068991415,0.14790551264341914
37,0.18417106167356306,0.14916227165977022
38,0.18299848954756484,0.15033484378576845
39,0.1819044648598612,0.1514288684734721
40,0.18088372592991875,0.15244960740341454
41,0.17993136354290096,0.15340196979043236
42,0.1790427973389761,0.1542905359943572
43,0.1782137537842257,0.15511957954910763
44,0.17744024561721344,0.15589308771611987
45,0.17671855267236955,0.15661478066096376
46,0.17604520398796214,0.15728812934537117
47,0.17541696111260663,0.15791637222072671
48,0.1748308025300261,0.15850253080330723
49,0.17428390912715508,0.15904942420617826
50,0.17377365063569522,0.15955968269763812
51,0.17329757298191473,0.1600357603514186
52,0.17285338648385049,0.16047994684948286
53,0.17243895483914748,0.16089437849418584
54,0.1720522848505735,0.16128104848275981
55,0.17169151683979345,0.16164181649353987
56,0.1713549157032993,0.16197841763003404
57,0.17104086256747886,0.16229247076585446
58,0.17074784700268933,0.162585486330644
59,0.17047445975888856,0.16285887357444478
60,0.17021938598788716,0.1631139473454462
