k,f1,f2,f3,f4
1.0,-6.919761232192639,-2.594879747542711,-10.564995104830848,-3.528386899065477
2.0,-15.345035659623894,-4.107865509765553,-14.370198844815233,-5.0311915926628945
3.0,-22.657696223723356,-5.6150406820579795,-18.30748037324576,-6.534036224864749
4.0,-28.655530159845394,-7.118792684566596,-22.290251180064313,-8.035782744658265
5.0,-34.65537466808938,-8.620708337727692,-26.285822202501503,-9.536719901060636
6.0,-40.65681428455212,-10.12167585298774,-30.284708263810828,-11.037200660457646
7.0,-46.47643804394299,-11.62216200222472,-34.284413313657865,-12.537443374999445
8.0,-51.00000000000001,-13.122405670765714,-38.284466936473414,-14.03756518853885
9.0,-49.415037499278846,-14.62252765311357,-42.28575448233388,-15.537626186701523
10.0,-50.0,-16.122588681038277,-46.415037499278846,-17.037656704561766
11.0,-50.0,-17.622619205455315,-48.0,-18.537671967928798
12.0,-48.41503749927885,-19.122634467674743,-48.41503749927885,-20.037679604785
13.0,-48.41503749927885,-20.622642101713446,-46.29956028185891,-21.537683397729545
14.0,-48.67807190511264,-22.122645923806473,-46.678071905112645,-23.03768533731067
15.0,-46.540568381362704,-23.622647702872776,-47.415037499278846,-24.537686346803984
16.0,-Infinity,-25.12264915959686,-45.67807190511264,-26.037686926120085
17.0,-45.67807190511264,-26.62264944890805,-45.83007499855769,-27.53768470842855
18.0,-48.67807190511264,-28.122650142623225,-44.830074998557684,-29.03766101991826
19.0,-44.034215715337915,-29.622662358049592,-46.29956028185891,-30.537623543743717
20.0,-48.0,-31.122693396446437,-44.830074998557684,-32.03789759126421
21.0,-44.3275746580285,-32.62296320685993,-44.50814690367032,-33.538296747705225
22.0,-45.47643804394299,-34.12411868909615,-44.093109404391484,-35.04212710632392
23.0,-41.99157137792942,-35.6177137224705,-44.06926266243712,-36.531694158861185
24.0,-41.43775757577893,-37.175240101045894,-41.60768257722124,-38.07444556012645
25.0,-41.58637207097583,-38.72300326070288,-41.38897520269265,-39.61090647809553
