k,trapezoidal_default,trapezoidal_recursive,simpsons_default,simpsons_recursive
0,3.1699250014423126,3.1699250014423126,2.5025003405291835,1.2224081453788378
1,2.000006879289633,2.000006879289633,1.2224081453788378,-0.5252024908995496
2,0.6051633243707873,0.6051633243707873,-0.5252024908995496,-3.258739209027171
3,-1.1245480500630418,-1.1245480500630418,-3.258739209027171,-6.822555400004083
4,-3.0434952742540067,-3.0434952742540067,-6.822555400004106,-10.704673169759703
5,-5.0222700244711564,-5.0222700244711564,-10.704673169759703,-14.674661224957168
6,-7.016901829658372,-7.016901829658372,-14.67466122495193,-18.66712476496019
7,-9.015555886765116,-9.015555886765116,-18.66712476496019,-22.665238564785135
8,-11.015219157243976,-11.015219157244392,-22.66523856611685,-26.66476686837871
9,-13.015134959624016,-13.015134959619044,-26.66476688967919,-30.664649038922672
10,-15.015113909274678,-15.015113909268049,-30.664649720482597,-34.66462927382487
11,-17.015108646594868,-17.015108646621385,-34.66462382143175,-38.66457475082093
12,-19.01510733097432,-19.015107330762174,-38.66448751830037,-42.658481176754755
13,-21.015107002142297,-21.015107005112394,-42.664051434797706,-46.700791981612724
14,-23.015106930860014,-23.01510691558524,-46.611982714654864,-49.50814690367032
15,-25.01510695122638,-25.015106924071226,-51.093109404391484,-51.093109404391484
16,-27.015107507907196,-27.015107154890067,-50.35614381022528,-50.67807190511263
17,-29.015108159631353,-29.015109680322194,-52.67807190511264,-47.63367778575419
18,-31.015121520041408,-31.015111961361455,-47.39266968625039,-48.87071698305503
19,-33.01504201113119,-33.01504548683896,-47.50814690367033,-47.15450994905562
20,-35.01518104597358,-35.015570414830115,-49.678071905112645,-47.72387559472576
21,-37.015932065745176,-37.01785311657702,-47.50814690367033,-46.21864028647534
22,-39.03805297265686,-39.030501053561935,-46.30303247376572,-46.41128536441774
23,-41.027917691437544,-41.001674018067874,-46.468618539483685,-47.28575448233388
24,-43.54878888816767,-42.8294489646833,-51.093109404391484,-45.80770718552923
25,-45.97763218697155,-48.15450994905563,-49.678071905112645,-44.8642907138956
