k,f1,f2,f3,f4
1.0,-4.587527458656531,-1.2879172243093187,-4.800143645687808,-2.3156031139346642
2.0,-6.585029489276773,-2.7771105314959934,-6.794460791890753,-3.772881975464481
3.0,-8.58496669333979,-4.271642081718509,-8.79298063158475,-5.244292590984169
4.0,-10.584962762788326,-5.768892776795387,-10.792606386443886,-6.724941642653031
5.0,-12.584962517105643,-7.2675145210604475,-12.792512552740044,-8.21169404729558
6.0,-14.584962501702625,-8.766824514199326,-14.792489077042196,-9.702542442120542
7.0,-16.584962500805133,-10.266479293802844,-16.792483207256993,-11.196177989007952
8.0,-18.584962500049347,-11.766306629717384,-18.792481738787178,-12.691730471531208
9.0,-20.5849625141573,-13.26622028426443,-20.792481378651583,-14.188611815796627
10.0,-22.58496248997224,-14.76617710825083,-22.79248131348974,-15.686419626668311
11.0,-24.584962360985262,-16.266155518979744,-24.792481592754804,-17.184876004695308
12.0,-26.58496219975155,-17.766144726675016,-26.792479637900513,-18.683787729690366
13.0,-28.584966198352888,-19.266139319069673,-28.792479191077046,-20.183019833180573
14.0,-30.584940143149783,-20.766136633550293,-30.792564983719977,-21.682477588925547
15.0,-32.58492260129789,-22.266135412447678,-32.79253757718225,-23.182094581924932
16.0,-34.58442326391601,-23.766134755201193,-34.79176564166021,-24.68182373094245
17.0,-36.58908496175512,-25.266134152118983,-36.79910139496155,-26.181632027861287
18.0,-38.60393044236013,-26.766138118864575,-38.806166667453454,-27.681504080236813
19.0,-40.54467277969544,-28.266152378518036,-40.67807190511264,-29.181428744125412
20.0,-42.84012866322161,-29.76622060419469,-41.9610810107077,-30.681485875726366
21.0,-43.407542962731924,-31.26663374220148,-43.47643804394299,-32.18127116895848
22.0,-Infinity,-32.76612290931868,-42.35614381022528,-33.68057484036158
23.0,-42.586372070975834,-34.26572700078501,-41.43394596182891,-35.19581854992174
24.0,-40.67581945338126,-35.814931009349664,-40.226036631566444,-36.6707642582662
25.0,-42.07815906292551,-37.02084278925941,-41.128094762340815,-38.16710998583526
