t,point 1,point 4
0,0,0
1,0.425,0
2,0.308125,0
3,0.34026562499999996,0
4,0.29880156249999995,0.03262539062499999
5,0.29552275390624994,0.03833483398437499
6,0.2743411149902343,0.058848048339843737
7,0.26580579609985344,0.06756718398437499
8,0.25235889151733387,0.08096353895950316
9,0.2438577125842208,0.08947861903464888
10,0.2343323721983087,0.09900013660650192
11,0.22705693970617977,0.10627662037249706
12,0.2199277738402689,0.1134054971380947
13,0.21401015600088485,0.1193231944800649
14,0.20853221227980587,0.1248011163379327
15,0.20381535202803736,0.12951798260208425
16,0.19955519087991996,0.13377814209679634
17,0.19582732215601165,0.13750601127539108
18,0.1924963406411484,0.14083699266521554
19,0.18956088428607676,0.14377244905467282
20,0.18695021887785757,0.14638311445343596
21,0.18464241660476544,0.14869091672912849
22,0.18259416157815192,0.15073917175502688
23,0.18078107026411094,0.1525522630692645
24,0.17917333041558042,0.15416000291774093
25,0.1777493341597557,0.1555839991735805
26,0.17648711539918752,0.15684621793414458
27,0.17536886171564542,0.15796447161768778
28,0.1743778207418134,0.15895551259151947
29,0.17349971544277393,0.159833617890559
30,0.17272156194727814,0.16061177138605476
31,0.17203204995894075,0.16130128337439212
32,0.1714210428907164,0.16191229044261643
33,0.1708796254813064,0.16245370785202645
34,0.17039985846242436,0.16293347487090845
35,0.16997472968974744,0.1633586036435854
36,0.16959801206251252,0.1637353212708203
37,0.16926419551803296,0.16406913781529986
38,0.16896839283704393,0.16436494049628886
39,0.16870627606495814,0.16462705726837462
40,0.16847400851589375,0.16485932481743903
41,0.16826819135267235,0.16506514198066038
42,0.16808581224541058,0.16524752108792212
43,0.167924202224084,0.1654091311092487
44,0.16778099606885194,0.16555233726448076
45,0.1676540980174558,0.1656792353158769
46,0.1675416509051633,0.16579168242816938
47,0.16744200909603169,0.16589132423730096
48,0.16735371433434532,0.16597961899898733
49,0.16727547444122162,0.166057858892111
50,0.1672061443814337,0.16612718895189893
51,0.16714470951900617,0.16618862381432642
52,0.16709027076047556,0.16624306257285704
53,0.16704203140124307,0.1662913019320895
54,0.1669992854632615,0.16633404787007106
55,0.1669614073646657,0.1663719259686669
56,0.16692784276354775,0.16640549056978482
57,0.16689810044575412,0.1664352328875784
58,0.16687174513571043,0.16646158819762208
59,0.16684839112639327,0.1664849422069392
60,0.16682769663444416,0.16650563669888832
